"sexe","age","revenu","region","conjoint","anneeclient","semainedernier","montantdernier","montantunan","achatunan","yachat","ymontant","train","test"
1,41,1,3,0,6.1,12,3,33,20,0,NA,0,1
0,39,3,2,0,8.9,2,2,226,22,0,NA,0,1
0,26,3,4,1,7.1,17,2,72,17,0,NA,0,1
1,45,1,4,0,3.7,44,6,19,2,1,61,0,1
0,40,3,1,0,4,21,8,101,15,0,NA,0,1
0,30,2,4,1,2.1,6,3,22,12,0,NA,0,1
0,31,2,1,0,6.1,5,2,33,10,0,NA,0,1
0,35,3,1,1,2.3,16,13,60,7,1,80,0,1
1,43,2,1,0,8.5,7,5,75,15,0,NA,0,1
1,55,2,3,1,2.6,16,9,110,12,0,NA,0,1
0,29,3,1,0,10.8,12,2,46,10,0,NA,0,1
0,30,1,4,0,9.4,2,3,35,17,0,NA,0,1
0,26,1,2,0,5.2,14,2,15,7,0,NA,0,1
1,36,2,2,1,7.9,1,4,59,12,0,NA,0,1
0,23,2,2,1,4,14,2,49,17,0,NA,0,1
1,50,1,2,0,3.5,7,2,63,22,0,NA,0,1
0,45,2,1,1,7.2,1,9,62,15,0,NA,0,1
0,35,3,3,1,3.6,2,3,66,25,0,NA,0,1
0,39,1,2,0,6.7,13,5,34,12,0,NA,0,1
0,34,1,1,0,9.4,21,2,49,10,0,NA,0,1
0,29,1,4,0,6.2,31,3,15,5,1,67,0,1
1,33,1,2,0,6.1,40,3,11,2,1,73,0,1
1,41,2,2,1,7.1,14,5,17,2,1,90,0,1
0,48,2,4,1,9.9,3,3,31,10,0,NA,0,1
0,32,3,4,0,2.7,3,2,161,22,0,NA,0,1
0,38,2,3,0,5.6,19,6,30,5,1,67,0,1
0,38,3,1,1,2.7,16,16,81,10,1,84,0,1
1,27,1,4,0,5.4,3,6,61,22,1,56,0,1
1,40,1,2,0,9.4,3,2,110,12,0,NA,0,1
0,37,2,4,0,7.3,25,4,24,10,0,NA,0,1
0,43,2,5,0,2.6,12,2,262,20,0,NA,0,1
1,35,2,4,1,10.3,10,3,45,10,1,99,0,1
0,40,3,2,1,3,4,4,37,10,0,NA,0,1
0,36,1,2,0,9.5,33,3,21,10,0,NA,0,1
1,26,1,1,1,5.4,17,4,52,10,1,75,0,1
1,55,2,5,1,5,1,3,225,20,0,NA,0,1
0,46,2,3,1,9.9,8,4,27,12,0,NA,0,1
0,42,3,1,1,4.6,12,5,83,7,0,NA,0,1
1,33,2,3,1,8.5,20,2,45,7,1,97,0,1
0,39,2,4,0,7.6,4,3,60,25,0,NA,0,1
1,35,2,1,1,6.2,18,3,97,12,0,NA,0,1
1,39,1,5,0,1.2,14,2,48,7,0,NA,0,1
1,54,1,3,0,2.2,1,5,72,15,0,NA,0,1
1,28,1,3,0,4.9,3,6,70,17,1,50,0,1
1,21,1,3,0,1.6,5,5,57,28,1,44,0,1
1,45,1,5,1,2,3,2,44,10,0,NA,0,1
0,30,1,1,0,5.9,20,11,92,12,0,NA,0,1
0,30,1,4,0,6,5,4,33,10,0,NA,0,1
0,31,2,3,0,9.6,2,3,80,12,0,NA,0,1
1,26,2,2,0,6,12,4,56,25,0,NA,0,1
1,30,1,5,0,3.5,10,5,97,12,1,53,0,1
1,34,1,5,1,10.5,25,2,52,10,1,96,0,1
0,32,1,2,0,10.5,1,4,65,7,0,NA,0,1
1,23,1,2,0,1.6,3,6,105,15,0,NA,0,1
0,30,1,4,1,8.9,11,2,58,10,1,80,0,1
1,45,2,2,0,3.9,10,6,39,12,0,NA,0,1
1,44,2,2,1,2.2,18,2,27,12,0,NA,0,1
1,34,2,4,0,6.4,11,11,64,10,1,77,0,1
0,51,1,2,0,3.2,3,2,95,12,0,NA,0,1
0,49,3,3,1,10.2,7,8,76,12,0,NA,0,1
1,42,1,5,1,6.9,15,2,123,22,0,NA,0,1
1,52,2,5,0,1.3,6,3,54,7,0,NA,0,1
0,42,3,2,1,9.6,14,6,56,7,0,NA,0,1
0,25,3,1,1,3.7,2,3,42,12,0,NA,0,1
1,43,1,4,0,2,1,5,37,7,0,NA,0,1
1,48,1,5,0,4.5,4,7,125,17,0,NA,0,1
0,28,2,1,1,7,6,5,75,12,0,NA,0,1
1,44,1,2,0,2.8,7,18,55,2,1,41,0,1
0,38,1,3,1,6,19,2,19,12,0,NA,0,1
1,43,2,5,0,4.4,5,6,57,12,0,NA,0,1
0,30,2,2,0,5.4,9,5,41,15,0,NA,0,1
0,38,2,4,0,10.8,1,6,114,17,0,NA,0,1
0,45,2,1,0,6.1,5,4,74,20,0,NA,0,1
1,33,1,5,0,1.5,1,4,77,15,1,57,0,1
0,39,2,5,1,7.3,3,4,51,17,0,NA,0,1
1,48,1,4,1,1.4,4,2,15,5,0,NA,0,1
1,45,1,1,1,3.9,23,8,63,7,0,NA,0,1
0,34,1,4,0,3.3,1,12,57,15,1,44,0,1
1,41,2,3,1,10.2,16,3,9,2,0,NA,0,1
1,57,3,4,1,3.5,4,5,69,12,0,NA,0,1
0,32,2,2,0,9.8,21,3,74,10,0,NA,0,1
1,37,2,4,0,9.6,2,5,73,22,0,NA,0,1
1,57,1,5,0,9.4,3,7,108,17,0,NA,0,1
1,37,1,2,0,2.8,10,6,119,17,0,NA,0,1
0,23,3,3,0,3.7,4,2,33,12,0,NA,0,1
1,42,1,5,0,9.4,1,24,251,22,1,43,0,1
0,31,2,4,0,2.8,12,19,123,10,1,69,0,1
1,40,3,5,1,8.7,28,3,25,7,0,NA,0,1
1,48,1,2,1,2.4,25,4,75,10,0,NA,0,1
1,47,1,3,0,10.7,16,4,45,25,0,NA,0,1
0,35,3,5,1,4.2,1,10,78,7,1,82,0,1
0,29,1,4,1,7,10,3,71,17,0,NA,0,1
1,26,2,3,0,1.3,16,4,21,5,1,61,0,1
1,28,3,1,1,2.5,12,9,130,15,0,NA,0,1
0,32,2,3,0,2.6,41,5,17,2,1,68,0,1
1,55,1,3,1,3.8,2,5,40,17,0,NA,0,1
0,29,3,2,1,9.5,9,3,124,20,0,NA,0,1
1,30,1,4,0,5.2,10,5,44,15,1,55,0,1
0,25,2,5,0,2.2,12,9,122,17,0,NA,0,1
0,47,3,1,1,10.5,4,2,109,20,0,NA,0,1
1,44,1,5,0,6.6,8,3,25,15,0,NA,0,1
0,27,3,4,0,5.7,27,7,34,5,1,68,0,1
1,42,3,4,1,9.4,32,6,107,15,1,106,0,1
0,40,2,1,0,6,3,6,121,20,0,NA,0,1
0,27,2,1,1,2.3,14,2,47,20,0,NA,0,1
1,54,2,4,1,10.7,9,2,18,10,0,NA,0,1
1,36,1,5,1,6.5,5,4,77,15,0,NA,0,1
0,29,3,4,0,10.4,3,4,31,7,0,NA,0,1
1,44,1,5,0,6.7,3,5,192,15,0,NA,0,1
1,40,2,3,0,6.1,3,3,200,15,0,NA,0,1
1,36,2,4,0,8.3,22,8,93,15,0,NA,0,1
0,51,3,2,1,2.7,9,5,154,17,0,NA,0,1
0,34,3,1,1,8.9,34,7,66,7,1,88,0,1
1,49,1,3,1,10.6,1,9,136,12,0,NA,0,1
1,39,2,1,1,2.3,3,2,74,22,0,NA,0,1
0,37,2,1,0,3.6,1,4,91,15,0,NA,0,1
1,26,2,5,0,5.1,6,6,26,7,1,71,0,1
1,34,1,4,0,7.2,19,3,117,10,0,NA,0,1
1,64,2,5,0,4.2,1,8,42,10,0,NA,0,1
1,39,2,4,0,4,40,6,19,2,1,78,0,1
1,33,1,4,0,8.6,18,3,24,12,0,NA,0,1
0,42,3,2,1,3.9,6,4,42,12,0,NA,0,1
0,39,1,1,0,4.2,3,5,94,17,0,NA,0,1
0,27,2,4,0,6.1,7,3,23,10,1,66,0,1
1,47,1,5,1,5.9,20,13,60,17,1,74,0,1
1,46,3,4,1,7.3,6,5,42,12,0,NA,0,1
1,35,1,1,0,6.9,37,7,31,5,1,63,0,1
1,46,1,2,0,4.1,4,3,13,5,0,NA,0,1
1,26,1,2,0,3.1,4,8,47,12,0,NA,0,1
1,49,1,2,0,1.8,14,2,61,12,0,NA,0,1
0,30,3,1,0,3,19,7,54,12,1,70,0,1
1,43,2,5,1,9.4,14,4,50,15,0,NA,0,1
0,39,3,1,1,7,17,9,93,20,0,NA,0,1
1,44,2,2,0,3.4,8,7,78,15,0,NA,0,1
1,54,1,3,1,7,8,5,79,15,0,NA,0,1
0,33,2,2,0,10.9,23,8,47,10,1,81,0,1
0,31,1,1,0,10.6,5,2,52,12,0,NA,0,1
0,46,3,1,1,3.1,11,2,56,7,0,NA,0,1
0,40,3,4,1,5.6,17,3,32,17,0,NA,0,1
0,40,3,1,0,2.7,1,4,160,30,0,NA,0,1
0,22,3,1,0,3.6,1,2,182,12,0,NA,0,1
0,24,2,2,0,4.1,3,2,87,17,0,NA,0,1
0,24,3,3,1,1.2,15,2,30,12,0,NA,0,1
0,35,3,5,0,8.9,25,6,47,10,1,75,0,1
0,33,1,4,0,1.7,3,4,80,12,1,46,0,1
0,31,2,1,0,9.3,5,2,34,17,0,NA,0,1
1,50,1,4,0,5.6,12,3,111,12,0,NA,0,1
0,55,3,5,1,5.7,38,3,36,10,0,NA,0,1
1,46,3,4,1,7,14,3,66,5,0,NA,0,1
1,47,2,5,0,5.5,13,3,50,10,0,NA,0,1
1,32,2,3,1,7.1,3,4,37,17,1,90,0,1
1,36,1,5,0,9.7,9,2,45,15,0,NA,0,1
0,47,1,5,0,4,4,2,138,20,0,NA,0,1
1,36,1,5,0,9.3,23,9,69,10,1,69,0,1
1,58,1,5,0,3.1,3,3,20,7,0,NA,0,1
1,62,1,4,1,3,24,4,77,15,0,NA,0,1
1,57,3,2,1,1.2,3,7,35,10,0,NA,0,1
0,51,1,1,0,2.3,7,8,146,10,0,NA,0,1
1,29,1,4,0,5.3,7,3,116,22,1,56,0,1
0,40,1,4,0,9.6,10,4,17,5,1,61,0,1
0,37,2,4,1,4.8,3,2,33,15,0,NA,0,1
1,46,2,4,0,4.8,23,6,39,15,0,NA,0,1
0,40,3,2,1,7.7,1,3,130,17,0,NA,0,1
0,41,3,4,1,9.4,4,14,150,17,0,NA,0,1
1,52,3,2,1,2.4,7,5,15,2,0,NA,0,1
0,40,2,5,0,7,3,2,48,15,0,NA,0,1
1,22,1,2,0,2.9,2,6,86,17,1,49,0,1
0,34,3,1,1,7.2,1,4,78,10,0,NA,0,1
0,29,1,3,0,2,2,2,91,10,1,55,0,1
1,44,2,4,0,1.8,16,4,26,7,0,NA,0,1
0,26,2,4,0,1.7,22,3,33,7,0,NA,0,1
1,35,1,4,1,6,2,2,7,2,1,74,0,1
0,33,1,1,0,10.3,7,2,65,15,0,NA,0,1
0,29,1,1,0,2.4,10,2,96,10,0,NA,0,1
0,30,3,2,1,7.4,18,3,42,7,0,NA,0,1
0,65,2,3,1,1.8,1,13,128,25,0,NA,0,1
1,39,1,4,0,6.6,24,14,85,12,1,58,0,1
1,55,2,2,1,5.1,2,3,42,15,0,NA,0,1
0,29,2,1,0,10.5,5,2,51,12,0,NA,0,1
1,41,2,4,0,6.4,24,3,39,12,0,NA,0,1
0,44,3,4,1,7.8,3,2,18,7,0,NA,0,1
0,41,2,2,1,5.2,24,3,47,10,0,NA,0,1
0,48,3,3,1,1.1,2,9,46,7,0,NA,0,1
0,48,3,1,1,9.8,1,3,44,15,0,NA,0,1
1,33,1,5,1,3.3,52,2,6,2,0,NA,0,1
0,32,3,1,1,9.2,51,3,10,2,1,93,0,1
0,46,3,5,1,2.2,52,2,6,2,1,80,0,1
1,46,2,1,1,1.8,31,2,22,7,0,NA,0,1
0,37,2,4,1,8.7,8,4,81,17,0,NA,0,1
1,24,1,5,0,3.4,6,6,149,15,1,52,0,1
0,38,3,1,1,8.8,11,2,22,10,0,NA,0,1
0,47,2,5,0,6.7,18,7,43,12,0,NA,0,1
1,51,2,3,1,5.9,1,8,241,20,0,NA,0,1
0,28,1,2,0,7.7,1,8,47,20,0,NA,0,1
1,51,3,3,1,8,1,8,101,28,0,NA,0,1
1,66,1,5,1,8.6,23,5,36,15,0,NA,0,1
1,31,1,5,0,1.1,22,2,51,10,1,57,0,1
1,40,1,3,1,3.3,13,7,33,7,1,66,0,1
1,47,1,4,0,1.9,1,14,68,15,0,NA,0,1
0,38,2,3,1,5.9,1,2,60,15,0,NA,0,1
1,44,1,5,0,5.6,4,2,50,17,0,NA,0,1
0,30,2,2,0,7,10,3,89,17,0,NA,0,1
0,48,3,3,1,5.3,2,4,28,5,0,NA,0,1
1,31,1,3,0,8.4,8,2,137,15,1,72,0,1
1,42,1,3,0,4.8,2,4,48,10,0,NA,0,1
1,34,2,5,1,4.8,2,11,67,12,1,83,0,1
1,29,1,5,1,8.8,40,8,35,5,1,88,0,1
0,47,3,2,1,2.5,4,3,106,20,0,NA,0,1
1,62,2,3,1,1,3,3,96,17,0,NA,0,1
0,28,3,1,1,8.1,1,2,64,28,0,NA,0,1
0,31,1,2,0,10.3,9,4,222,25,0,NA,0,1
1,31,1,3,1,10.4,19,6,35,10,1,89,0,1
0,33,3,4,1,4.3,9,5,53,15,0,NA,0,1
1,28,2,4,0,8.7,20,2,23,7,0,NA,0,1
0,29,3,1,1,10.2,3,2,39,10,0,NA,0,1
1,44,1,3,1,3.3,1,21,292,17,1,58,0,1
1,31,1,2,0,2.2,3,3,120,15,1,48,0,1
0,30,1,5,0,11,3,5,77,25,0,NA,0,1
0,30,3,1,1,10.7,1,3,210,20,0,NA,0,1
1,40,1,3,0,4.3,3,2,48,7,1,56,0,1
0,23,2,4,0,5.2,10,4,24,7,0,NA,0,1
0,29,2,2,0,8.5,10,11,54,10,1,70,0,1
0,34,3,1,1,6.8,5,4,226,25,0,NA,0,1
1,47,1,4,0,3.3,10,2,33,12,0,NA,0,1
0,39,1,1,0,8.4,8,2,27,15,0,NA,0,1
0,28,3,1,0,6,14,2,47,12,0,NA,0,1
1,27,2,3,0,7.4,16,3,154,15,1,77,0,1
1,49,2,5,1,5.6,11,5,34,10,0,NA,0,1
0,32,2,4,1,9.5,11,8,75,12,1,96,0,1
0,33,3,1,0,2.9,1,7,46,15,0,NA,0,1
0,30,2,2,0,2,4,5,165,17,0,NA,0,1
0,29,2,3,0,2.9,43,3,14,5,1,74,0,1
1,43,1,3,0,1.4,14,6,99,15,0,NA,0,1
1,38,1,4,0,10.1,9,6,43,20,0,NA,0,1
0,29,3,4,0,9,1,4,52,20,0,NA,0,1
0,41,3,2,1,1.3,16,2,53,7,0,NA,0,1
0,40,3,3,1,6.8,1,2,30,12,0,NA,0,1
0,46,2,3,0,6.8,5,3,40,15,0,NA,0,1
1,35,2,3,0,1.9,4,8,48,10,1,63,0,1
1,37,1,5,0,10.4,9,3,22,5,1,78,0,1
1,32,1,5,1,3.8,7,11,70,12,1,68,0,1
0,47,3,3,0,10,8,3,102,10,0,NA,0,1
0,50,1,5,0,3.7,21,12,99,17,0,NA,0,1
0,27,2,4,0,1.1,10,4,89,15,0,NA,0,1
0,23,3,1,1,1.9,18,5,65,10,0,NA,0,1
1,50,2,5,0,10.6,8,5,131,30,0,NA,0,1
0,26,1,1,0,5,27,2,26,10,0,NA,0,1
1,44,2,2,1,9.6,2,4,40,17,0,NA,0,1
1,50,1,3,0,10,10,3,38,22,0,NA,0,1
0,30,2,3,0,1.2,8,3,87,20,0,NA,0,1
0,35,2,3,0,9.1,17,8,74,20,0,NA,0,1
0,37,2,1,0,3.4,2,4,21,5,0,NA,0,1
0,28,2,4,0,6.7,4,3,53,7,0,NA,0,1
0,31,1,2,0,8.7,6,26,133,17,1,38,0,1
1,38,1,2,0,3.1,8,5,39,10,0,NA,0,1
1,31,1,5,0,8.1,12,3,28,5,0,NA,0,1
1,38,1,5,0,6.8,2,2,123,22,0,NA,0,1
1,39,3,1,1,4.1,16,11,65,7,1,90,0,1
1,62,1,4,0,4.5,12,6,118,15,0,NA,0,1
1,32,1,5,0,10,10,2,14,5,0,NA,0,1
0,32,1,4,0,9.9,6,7,108,22,0,NA,0,1
1,43,1,5,0,6.8,5,6,39,15,0,NA,0,1
0,23,3,2,1,3.9,6,10,158,22,0,NA,0,1
1,31,1,3,0,10.9,10,6,43,7,1,79,0,1
0,35,1,1,0,6.1,52,8,24,2,1,60,0,1
0,39,3,2,0,9.5,8,3,45,17,0,NA,0,1
0,34,2,4,1,5.5,3,2,35,12,0,NA,0,1
0,57,3,1,1,5.7,30,4,69,22,0,NA,0,1
0,39,3,3,0,3.9,10,17,74,10,1,62,0,1
0,24,2,4,0,4.6,5,3,94,20,0,NA,0,1
0,27,1,2,0,7.2,5,2,44,15,0,NA,0,1
0,34,2,1,1,10.8,22,2,37,7,0,NA,0,1
1,30,1,1,0,6.4,1,5,174,20,0,NA,0,1
0,36,2,5,1,1.1,52,2,41,5,1,88,0,1
1,45,1,5,0,6.3,6,6,44,20,1,55,0,1
1,47,2,1,1,5.6,13,2,30,15,0,NA,0,1
1,37,2,3,1,6.7,16,2,77,10,0,NA,0,1
1,42,1,4,0,8.6,1,2,50,20,0,NA,0,1
1,47,1,3,1,2.8,6,5,46,12,0,NA,0,1
0,35,3,1,1,9.5,5,5,68,15,0,NA,0,1
1,30,1,4,0,9.3,1,5,36,7,0,NA,0,1
0,48,2,5,1,1.4,5,2,43,10,0,NA,0,1
0,31,2,5,0,8.2,1,9,146,17,0,NA,0,1
1,33,3,4,1,7.1,5,12,60,10,1,91,0,1
1,36,1,5,1,4.5,2,6,27,7,0,NA,0,1
0,27,2,5,0,9,2,10,75,17,0,NA,0,1
1,35,1,3,1,4.5,7,6,46,15,0,NA,0,1
1,46,2,3,0,9.5,1,4,155,22,0,NA,0,1
0,42,3,3,1,6.5,4,7,117,22,0,NA,0,1
1,35,2,2,0,2,8,4,77,17,0,NA,0,1
0,42,3,3,1,5,2,4,100,20,0,NA,0,1
0,36,1,1,0,5.5,14,8,74,17,0,NA,0,1
0,29,2,4,0,6.8,9,2,55,20,0,NA,0,1
1,27,1,4,1,8.3,36,8,71,15,1,86,0,1
1,37,1,4,1,3.1,12,5,108,20,0,NA,0,1
1,46,2,4,1,6.2,5,5,139,25,0,NA,0,1
1,21,1,1,0,1.2,20,8,105,12,1,49,0,1
0,29,3,2,1,4.6,3,2,28,10,0,NA,0,1
0,49,3,1,1,3.3,1,4,61,12,0,NA,0,1
0,48,1,3,0,6.5,10,5,32,12,0,NA,0,1
1,31,1,2,0,4.1,3,3,133,25,0,NA,0,1
1,31,1,3,0,10.1,2,3,49,17,1,79,0,1
1,42,1,2,0,1.7,1,4,45,15,0,NA,0,1
0,56,1,5,0,9.2,47,6,19,2,1,71,0,1
1,52,1,5,1,4.4,6,2,22,12,0,NA,0,1
0,41,3,2,1,7.3,9,3,31,5,0,NA,0,1
1,33,1,3,1,1.2,12,3,43,17,1,71,0,1
0,42,2,1,0,3.5,1,4,355,20,0,NA,0,1
0,28,1,4,0,3.5,7,3,27,15,0,NA,0,1
0,28,1,2,0,10,9,3,29,10,0,NA,0,1
0,39,3,1,1,8,3,3,63,15,0,NA,0,1
0,58,3,3,1,4,7,7,135,20,0,NA,0,1
0,31,3,2,1,2.4,10,4,40,10,0,NA,0,1
0,46,3,2,1,6.6,6,2,61,20,0,NA,0,1
1,55,1,2,0,6.2,52,2,42,7,0,NA,0,1
1,33,1,3,0,5.4,2,8,93,22,0,NA,0,1
0,27,1,4,0,4.1,3,3,25,7,1,57,0,1
1,27,1,3,0,4.6,6,4,145,12,1,61,0,1
1,42,2,4,0,4.7,49,4,29,5,1,80,0,1
0,38,1,4,0,2.6,6,5,92,22,0,NA,0,1
0,32,2,3,1,2.5,18,4,144,12,0,NA,0,1
0,33,3,1,0,10.3,6,4,51,15,0,NA,0,1
0,23,2,1,0,4.4,23,2,36,7,1,70,0,1
1,42,3,5,1,3.3,4,2,171,25,0,NA,0,1
0,39,3,4,1,8.7,22,7,37,15,0,NA,0,1
0,32,1,1,0,9.5,5,2,98,25,0,NA,0,1
0,30,2,3,0,9,12,3,39,10,1,74,0,1
0,27,3,5,0,1.2,1,2,94,17,0,NA,0,1
0,29,3,3,1,6,2,3,29,10,0,NA,0,1
0,37,1,5,0,5.8,1,9,76,17,0,NA,0,1
1,46,1,5,1,2.2,41,4,20,5,0,NA,0,1
0,58,2,4,0,2.9,9,2,29,12,0,NA,0,1
1,50,1,5,1,2.7,19,2,20,10,0,NA,0,1
0,27,3,3,0,1.9,7,2,33,22,0,NA,0,1
0,36,3,1,1,4.1,9,7,119,15,0,NA,0,1
0,39,1,3,0,1.9,4,5,57,22,0,NA,0,1
0,30,3,1,0,10.4,12,7,95,25,0,NA,0,1
0,29,1,4,0,3.6,1,2,72,25,0,NA,0,1
1,33,1,5,0,1.2,19,2,162,15,0,NA,0,1
1,32,1,4,0,9.7,8,2,40,17,0,NA,0,1
0,41,3,3,1,5.9,2,4,24,10,0,NA,0,1
1,57,1,5,1,8.6,5,24,102,10,0,NA,0,1
1,25,2,1,0,5.5,13,2,136,17,1,67,0,1
0,30,1,2,0,5.9,19,3,138,12,0,NA,0,1
0,25,2,1,0,2.6,24,2,25,7,0,NA,0,1
1,45,2,5,0,2.8,27,4,13,2,0,NA,0,1
1,42,2,2,0,9.7,4,2,48,15,0,NA,0,1
1,57,1,3,0,7.2,1,3,36,20,0,NA,0,1
1,44,1,3,1,8,12,2,43,12,0,NA,0,1
0,37,1,5,0,8.3,15,7,36,12,0,NA,0,1
1,24,1,3,1,2.5,28,2,142,15,0,NA,0,1
1,36,1,3,0,8.6,3,2,163,20,0,NA,0,1
1,34,1,4,0,5.8,2,6,65,12,1,57,0,1
0,46,3,3,1,4.7,15,2,34,7,0,NA,0,1
1,49,3,3,1,6.3,2,3,33,15,0,NA,0,1
1,52,2,5,1,6.4,3,3,67,17,0,NA,0,1
1,36,2,5,0,4.4,6,3,45,28,0,NA,0,1
1,52,1,5,1,6.1,2,4,94,22,0,NA,0,1
1,45,3,3,1,7,5,9,116,17,0,NA,0,1
1,41,3,3,1,10.7,12,4,36,5,0,NA,0,1
0,35,2,4,1,9.5,18,5,98,12,0,NA,0,1
0,44,3,1,0,4.4,8,3,58,12,0,NA,0,1
1,36,1,3,0,3.1,1,6,42,20,0,NA,0,1
0,41,1,2,1,7.3,8,2,25,12,0,NA,0,1
1,36,2,2,0,4.6,26,2,99,12,0,NA,0,1
1,28,1,2,0,2.6,3,7,64,28,1,43,0,1
1,60,1,5,0,7.7,5,6,33,12,0,NA,0,1
1,28,1,2,1,1.9,16,2,24,10,0,NA,0,1
0,40,1,1,0,3.3,23,4,77,12,0,NA,0,1
0,25,3,1,0,5.9,14,5,54,10,0,NA,0,1
0,28,2,3,0,6.4,2,2,74,17,0,NA,0,1
0,38,3,2,0,5.1,5,3,77,17,0,NA,0,1
0,24,2,1,0,6,7,3,56,22,0,NA,0,1
1,28,2,3,0,3.1,2,5,67,7,0,NA,0,1
0,33,2,2,0,5.1,11,3,42,12,0,NA,0,1
0,38,2,4,1,8.6,1,5,190,22,0,NA,0,1
1,31,1,3,0,3.3,1,8,162,25,1,45,0,1
1,43,3,2,1,4.7,2,7,55,7,0,NA,0,1
1,36,2,4,1,1.7,1,4,41,10,0,NA,0,1
1,32,2,4,0,10.8,8,3,38,20,0,NA,0,1
1,42,2,3,0,8.6,11,4,49,25,0,NA,0,1
0,45,2,3,1,2.8,23,5,93,15,0,NA,0,1
1,40,2,5,0,6,5,6,26,7,1,70,0,1
0,34,3,2,1,6.9,3,3,100,17,0,NA,0,1
1,39,1,4,0,3,3,4,31,12,0,NA,0,1
0,31,2,1,0,7.4,3,6,56,15,0,NA,0,1
1,45,1,4,0,6,5,4,98,17,0,NA,0,1
1,44,2,5,1,8.9,2,15,56,10,0,NA,0,1
0,41,3,3,1,3.3,14,8,245,20,0,NA,0,1
0,26,1,5,0,7.6,3,9,78,12,1,54,0,1
1,60,1,4,0,3.4,27,3,55,7,0,NA,0,1
0,41,2,3,0,9.4,10,3,10,2,1,68,0,1
0,40,1,4,1,8.7,31,5,17,2,1,84,0,1
1,50,2,5,1,7.8,2,4,95,22,0,NA,0,1
0,43,1,1,1,9.5,12,4,50,15,0,NA,0,1
1,49,2,4,0,8.8,2,3,39,15,0,NA,0,1
1,47,2,3,1,3.3,9,2,47,10,0,NA,0,1
0,25,3,1,1,3.5,2,4,99,17,0,NA,0,1
0,39,2,2,1,10.4,52,2,6,2,1,99,0,1
0,38,3,1,1,8.2,6,2,95,10,0,NA,0,1
0,30,2,1,0,5.9,25,5,51,28,0,NA,0,1
1,24,2,3,0,3.6,36,2,88,10,0,NA,0,1
1,40,2,5,1,2.9,2,9,47,12,0,NA,0,1
1,31,1,5,0,8.8,4,9,35,7,0,NA,0,1
0,48,3,1,1,6.2,13,3,201,12,0,NA,0,1
1,56,3,5,1,7.4,36,4,21,7,0,NA,0,1
0,33,3,4,0,10.7,2,2,120,15,0,NA,0,1
0,31,3,1,0,7.7,32,3,52,12,0,NA,0,1
1,37,1,4,0,6.3,11,4,76,20,0,NA,0,1
0,32,3,1,0,10.1,3,5,29,12,0,NA,0,1
0,48,2,2,0,8.3,2,2,25,10,0,NA,0,1
0,31,2,3,1,8.7,3,4,66,30,0,NA,0,1
0,28,3,4,1,7.4,3,4,57,10,1,84,0,1
0,31,2,1,0,2.1,16,2,21,10,0,NA,0,1
0,35,2,1,0,6.3,13,3,68,12,0,NA,0,1
1,31,2,4,0,10.1,15,5,107,17,1,83,0,1
0,26,2,2,1,6,14,2,53,17,0,NA,0,1
0,27,3,3,1,6.9,1,2,115,15,0,NA,0,1
0,45,2,1,1,3.6,38,4,44,12,0,NA,0,1
0,40,3,2,0,5.2,36,2,24,7,0,NA,0,1
1,62,2,3,0,8.4,41,4,12,2,0,NA,0,1
1,42,2,2,0,6.2,6,10,41,7,0,NA,0,1
0,24,2,3,0,2.4,33,9,33,5,1,69,0,1
0,25,3,1,0,6.8,25,2,16,10,0,NA,0,1
1,51,3,5,1,8.9,2,3,29,7,0,NA,0,1
1,22,1,4,0,3.5,8,8,32,5,0,NA,0,1
0,52,2,4,1,7.2,7,5,45,17,0,NA,0,1
0,30,2,4,0,10.9,7,3,234,12,1,78,0,1
1,34,1,1,0,7.7,2,2,74,20,0,NA,0,1
0,27,3,3,0,8.7,18,2,106,15,0,NA,0,1
1,47,1,5,0,4.3,1,3,39,12,0,NA,0,1
0,28,1,4,0,7.7,2,4,40,17,0,NA,0,1
0,46,3,1,0,7.5,5,10,129,15,0,NA,0,1
0,36,1,1,0,10.8,18,3,24,7,0,NA,0,1
0,29,1,3,0,6.4,29,4,27,12,0,NA,0,1
1,40,1,5,0,6.1,11,3,91,15,1,63,0,1
0,28,3,1,1,6.4,17,7,53,12,1,83,0,1
0,28,1,3,0,7.4,5,5,74,22,0,NA,0,1
0,27,1,4,0,8.5,1,3,40,7,1,61,0,1
0,31,1,2,0,10.4,4,5,54,12,0,NA,0,1
0,28,3,5,1,5.2,6,9,46,12,1,86,0,1
0,27,1,3,0,5.8,23,3,55,30,0,NA,0,1
0,33,2,1,0,1.3,3,6,31,10,0,NA,0,1
1,44,2,5,1,5.8,1,8,219,22,0,NA,0,1
1,28,1,4,0,9.8,3,4,230,28,1,69,0,1
0,24,3,4,1,1.6,1,4,57,10,0,NA,0,1
0,28,3,2,1,6.3,10,10,84,10,0,NA,0,1
0,20,3,4,0,1.3,3,2,17,10,1,59,0,1
1,30,1,5,1,9.5,10,5,78,12,0,NA,0,1
0,28,2,5,0,7.2,3,4,36,15,1,66,0,1
0,34,2,1,0,10.4,3,4,39,17,0,NA,0,1
0,34,3,2,1,1.4,3,6,50,15,0,NA,0,1
0,43,2,4,0,1.2,30,5,38,5,1,64,0,1
0,38,3,4,0,5.6,20,2,40,12,0,NA,0,1
0,31,3,3,1,6.9,8,3,34,10,0,NA,0,1
0,30,3,2,1,1.5,3,4,75,22,0,NA,0,1
